dem-presidentoftheunitedstates, 0
dem-ussenate, 1
dem-publicservicecommissiondist1, 2
dem-publicservicecommissiondist4, 3
dem-ushousedist3, 4
dem-statesenatedist16, 5
dem-statehousedist72, 6
dem-sheriff, 7
dem-cocommissiondist1, 8
dem-cocommissiondist5(atlarge), 9
dem-brdofeducationdist1, 10
dempartyquestion1, 11
dempartyquestion2, 12
dempartyquestion3, 13
dempartyquestion4, 14
dempartyquestion5, 15
dempartyquestion6, 16
supremecourt-bethel, 17
supremecourt-warren, 18
courtofappeals-brown, 19
courtofappeals-coomer, 20
courtofappeals-doyle, 21
courtofappeals-gobeil, 22
courtofappeals-markle, 23
courtofappeals-mcmillian, 24
superiorcourt-griffin-ballard, 25
superiorcourt-griffin-sams, 26
magistratejudgepost1, 27
magistratejudgepost2, 28
magistratejudgepost3, 29
magistratejudgepost4, 30
dem-ushousedist13, 31
dem-statesenatedist34, 32
dem-statehousedist63, 33
dem-statehousedist73, 34
rep-presidentoftheunitedstates, 35
rep-ussenate, 36
rep-publicservicecommissiondist1, 37
rep-publicservicecommissiondist4, 38
rep-ushousedist3, 39
rep-statesenatedist16, 40
rep-statehousedist72, 41
rep-probatejudge, 42
rep-clerkofsuperiorcourt, 43
rep-sheriff, 44
rep-taxcommissioner, 45
rep-coroner, 46
rep-solicitorgeneral, 47
rep-cocommissiondist5(atlarge), 48
rep-brdofeducationdist3, 49
rep-brdofeducationdist5(atlarge), 50
reppartyquestion1, 51
reppartyquestion2, 52
reppartyquestion3, 53
rep-cocommissiondist1, 54
rep-brdofeducationdist1, 55
rep-ushousedist13, 56
dem-statehousedist64, 57
rep-statehousedist71, 58
rep-cocommissiondist2, 59
rep-statehousedist63, 60
dem-statehousedist71, 61
rep-statehousedist73, 62
