path,result
00201_00101_000001_0_0_0_1.jpg,1
00201_00101_000001_0_0_10_0.jpg,0
00201_00101_000001_0_0_11_0.jpg,0
00201_00101_000001_0_0_12_0.jpg,0
00201_00101_000001_0_0_13_0.jpg,0
00201_00101_000001_0_0_14_0.jpg,0
00201_00101_000001_0_0_15_0.jpg,0
00201_00101_000001_0_0_16_0.jpg,0
00201_00101_000001_0_0_17_0.jpg,0
00201_00101_000001_0_0_18_0.jpg,0
00201_00101_000001_0_0_19_0.jpg,0
00201_00101_000001_0_0_1_0.jpg,0
00201_00101_000001_0_0_20_0.jpg,0
00201_00101_000001_0_0_21_0.jpg,0
00201_00101_000001_0_0_2_0.jpg,0
00201_00101_000001_0_0_3_0.jpg,0
00201_00101_000001_0_0_4_0.jpg,0
00201_00101_000001_0_0_5_0.jpg,0
00201_00101_000001_0_0_6_0.jpg,0
00201_00101_000001_0_0_7_0.jpg,0
00201_00101_000001_0_0_8_0.jpg,0
00201_00101_000001_0_0_9_0.jpg,0
00201_00101_000001_0_10_0_1.jpg,1
00201_00101_000001_0_10_1_0.jpg,0
00201_00101_000001_0_11_0_1.jpg,1
00201_00101_000001_0_11_1_0.jpg,0
00201_00101_000001_0_12_0_1.jpg,1
00201_00101_000001_0_12_1_0.jpg,0
00201_00101_000001_0_1_0_1.jpg,1
00201_00101_000001_0_1_1_0.jpg,0
00201_00101_000001_0_1_2_0.jpg,0
00201_00101_000001_0_1_3_0.jpg,0
00201_00101_000001_0_1_4_0.jpg,0
00201_00101_000001_0_1_5_0.jpg,0
00201_00101_000001_0_28_0_0.jpg,0
00201_00101_000001_0_28_1_1.jpg,1
00201_00101_000001_0_2_0_0.jpg,0
00201_00101_000001_0_2_1_1.jpg,1
00201_00101_000001_0_2_2_0.jpg,0
00201_00101_000001_0_2_3_0.jpg,0
00201_00101_000001_0_3_0_1.jpg,1
00201_00101_000001_0_3_1_0.jpg,0
00201_00101_000001_0_5_0_1.jpg,1
00201_00101_000001_0_5_1_0.jpg,0
00201_00101_000001_0_6_0_1.jpg,1
00201_00101_000001_0_7_0_1.jpg,1
00201_00101_000001_0_7_1_0.jpg,0
00201_00101_000001_0_8_0_1.jpg,1
00201_00101_000001_0_8_1_0.jpg,0
00201_00101_000001_0_9_0_1.jpg,1
00201_00101_000001_0_9_1_0.jpg,0
00201_00101_000001_1_13_0_1.jpg,1
00201_00101_000001_1_13_1_0.jpg,0
00201_00101_000001_1_14_0_0.jpg,0
00201_00101_000001_1_14_1_1.jpg,1
00201_00101_000001_1_15_0_1.jpg,1
00201_00101_000001_1_15_1_0.jpg,0
00201_00101_000001_1_16_0_1.jpg,1
00201_00101_000001_1_16_1_0.jpg,0
